The converted file is generated at:
2017-05-23 04:28:08
XMax XMin YMax YMin
0.787 -0.787 0.786 -0.786
Number of Layers:
132
0.168 -0.516 -111.644
0.231 -0.491 -118.811
0.291 -0.458 -126.027
0.346 -0.418 -132.614
0.396 -0.372 -140.947
0.439 -0.319 -147.465
0.476 -0.261 -154.573
0.505 -0.200 -162.096
0.526 -0.135 -169.019
0.539 -0.068 -176.634
0.543 0.000 -183.366
0.539 0.068 -190.981
0.526 0.135 -197.904
0.505 0.200 -205.427
0.476 0.261 -212.535
0.439 0.319 -219.053
0.396 0.372 -227.386
0.346 0.418 -233.973
0.291 0.458 -241.189
0.231 0.491 -248.356
0.168 0.516 -255.556
0.102 0.533 -262.461
0.034 0.542 -270.000
-0.034 0.542 -277.539
-0.102 0.533 -277.539
seperation layer:
33.339
108
-0.059 -0.79 93.013
0.055 -0.784 96.34
0.145 -0.774 104.036
0.205 -0.759 101.31
0.255 -0.749 116.565
0.275 -0.739 110.556
0.315 -0.724 126.87
0.335 -0.709 101.31
0.36 -0.704 128.66
0.385 -0.684 119.745
0.42 -0.664 111.801
0.445 -0.654 130.601
0.48 -0.624 130.101
0.575 -0.544 153.435
0.585 -0.524 138.366
0.625 -0.479 144.462
0.65 -0.444 144.462
0.675 -0.409 153.435
0.695 -0.369 165.964
0.7 -0.349 149.036
0.715 -0.324 149.036
0.73 -0.299 164.055
0.74 -0.264 158.198
0.75 -0.239 164.055
0.76 -0.204 167.905
0.775 -0.134 174.56
0.785 -0.029 180.0
0.785 0.021 184.97
0.775 0.136 194.036
0.76 0.196 195.945
0.75 0.231 192.529
0.74 0.276 210.964
0.725 0.301 201.801
0.715 0.326 210.964
0.7 0.351 206.565
0.69 0.371 201.801
0.68 0.396 210.964
0.665 0.421 213.69
0.655 0.436 219.806
0.63 0.466 210.964
0.615 0.491 217.875
0.58 0.536 230.906
0.5 0.601 216.87
0.485 0.621 236.31
0.455 0.641 231.34
0.43 0.661 240.255
0.395 0.681 248.199
0.37 0.691 243.435
0.35 0.701 239.036
0.325 0.716 254.055
0.29 0.726 239.036
0.265 0.741 254.054
0.23 0.751 257.471
0.185 0.761 253.301
0.135 0.776 270.0
-0.125 0.776 282.095
-0.195 0.761 282.529
-0.24 0.751 291.802
-0.265 0.741 293.199
-0.3 0.726 291.801
-0.325 0.716 293.199
-0.36 0.701 300.964
-0.385 0.686 299.745
-0.42 0.666 300.964
-0.445 0.651 307.875
-0.49 0.616 309.472
-0.575 0.546 330.945
-0.6 0.501 306.87
-0.62 0.486 323.13
-0.65 0.446 327.995
-0.675 0.406 330.255
-0.695 0.371 333.435
-0.705 0.351 338.199
-0.715 0.326 338.199
-0.725 0.301 336.801
-0.74 0.266 344.055
-0.75 0.231 344.055
-0.76 0.196 345.964
-0.775 0.136 354.56
-0.785 0.031 0.0
-0.785 -0.039 5.194
-0.775 -0.149 15.255
-0.76 -0.204 15.945
-0.75 -0.239 14.036
-0.74 -0.279 36.87
-0.725 -0.299 15.945
-0.715 -0.334 38.66
-0.695 -0.359 23.199
-0.68 -0.394 30.964
-0.665 -0.419 21.801
-0.655 -0.444 36.87
-0.64 -0.464 53.13
-0.62 -0.479 26.565
-0.61 -0.499 40.601
-0.58 -0.534 50.194
-0.55 -0.559 47.121
-0.48 -0.624 55.008
-0.43 -0.659 54.462
-0.395 -0.684 66.038
-0.35 -0.704 59.036
-0.325 -0.719 78.69
-0.3 -0.724 66.801
-0.265 -0.739 59.036
-0.24 -0.754 83.66
-0.195 -0.759 71.565
-0.15 -0.774 83.29
-0.065 -0.784 45.0
-0.059 -0.79 45.0
Layer: 113
33.939
51
-0.456 -0.331 147.653
-0.494 -0.271 154.885
-0.524 -0.207 161.822
-0.546 -0.140 169.330
-0.559 -0.071 175.972
-0.564 0.000 184.028
-0.559 0.071 190.670
-0.546 0.140 198.178
-0.524 0.207 205.115
-0.494 0.271 212.347
-0.456 0.331 219.289
-0.411 0.386 227.291
-0.359 0.434 233.616
-0.302 0.476 241.260
-0.240 0.510 248.499
-0.174 0.536 255.174
-0.106 0.554 263.571
-0.035 0.562 270.000
0.035 0.562 276.429
0.106 0.554 284.826
0.174 0.536 291.501
0.240 0.510 298.740
0.302 0.476 306.384
0.359 0.434 312.709
0.411 0.386 320.711
0.456 0.331 327.653
0.494 0.271 334.885
0.524 0.207 341.822
0.546 0.140 349.330
0.559 0.071 355.972
0.564 0.000 364.028
0.559 -0.071 370.670
0.546 -0.140 378.178
0.524 -0.207 385.115
0.494 -0.271 392.347
0.456 -0.331 399.289
0.411 -0.386 407.291
0.359 -0.434 413.616
0.302 -0.476 421.260
0.240 -0.510 428.499
0.174 -0.536 435.174
0.106 -0.554 443.571
0.035 -0.562 450.000
-0.035 -0.562 456.429
-0.106 -0.554 464.826
-0.174 -0.536 471.501
-0.240 -0.510 478.740
-0.302 -0.476 486.384
-0.359 -0.434 492.709
-0.411 -0.386 500.711
-0.456 -0.331 500.711
Layer: 114
33.939
51
-0.419 -0.304 319.970
-0.377 -0.354 313.755
-0.330 -0.399 305.640
-0.277 -0.437 298.540
-0.220 -0.468 291.801
-0.160 -0.492 285.101
-0.097 -0.509 277.125
-0.033 -0.517 270.000
0.033 -0.517 262.875
0.097 -0.509 254.899
0.160 -0.492 248.199
0.220 -0.468 241.460
0.277 -0.437 234.360
0.330 -0.399 226.245
0.377 -0.354 220.030
0.419 -0.304 212.471
0.454 -0.249 204.963
0.481 -0.191 197.879
0.501 -0.129 191.482
0.514 -0.065 183.521
0.518 0.000 176.479
0.514 0.065 168.518
0.501 0.129 162.121
0.481 0.191 155.037
0.454 0.249 147.529
0.419 0.304 139.970
0.377 0.354 133.755
0.330 0.399 125.640
0.277 0.437 118.540
0.220 0.468 111.801
0.160 0.492 105.101
0.097 0.509 97.125
0.033 0.517 90.000
-0.033 0.517 82.875
-0.097 0.509 74.899
-0.160 0.492 68.199
-0.220 0.468 61.460
-0.277 0.437 54.360
-0.330 0.399 46.245
-0.377 0.354 40.030
-0.419 0.304 32.471
-0.454 0.249 24.963
-0.481 0.191 17.879
-0.501 0.129 11.482
-0.514 0.065 3.521
-0.518 0.000 -3.521
-0.514 -0.065 -11.482
-0.501 -0.129 -17.879
-0.481 -0.191 -24.963
-0.454 -0.249 -32.471
-0.419 -0.304 -32.471
seperation layer:
33.939
108
-0.059 -0.79 93.013
0.055 -0.784 96.34
0.145 -0.774 104.036
0.205 -0.759 101.31
0.255 -0.749 116.565
0.275 -0.739 110.556
0.315 -0.724 126.87
0.335 -0.709 101.31
0.36 -0.704 128.66
0.385 -0.684 119.745
0.42 -0.664 111.801
0.445 -0.654 130.601
0.48 -0.624 130.101
0.575 -0.544 153.435
0.585 -0.524 138.366
0.625 -0.479 144.462
0.65 -0.444 144.462
0.675 -0.409 153.435
0.695 -0.369 165.964
0.7 -0.349 149.036
0.715 -0.324 149.036
0.73 -0.299 164.055
0.74 -0.264 158.198
0.75 -0.239 164.055
0.76 -0.204 167.905
0.775 -0.134 174.56
0.785 -0.029 180.0
0.785 0.021 184.97
0.775 0.136 194.036
0.76 0.196 195.945
0.75 0.231 192.529
0.74 0.276 210.964
0.725 0.301 201.801
0.715 0.326 210.964
0.7 0.351 206.565
0.69 0.371 201.801
0.68 0.396 210.964
0.665 0.421 213.69
0.655 0.436 219.806
0.63 0.466 210.964
0.615 0.491 217.875
0.58 0.536 230.906
0.5 0.601 216.87
0.485 0.621 236.31
0.455 0.641 231.34
0.43 0.661 240.255
0.395 0.681 248.199
0.37 0.691 243.435
0.35 0.701 239.036
0.325 0.716 254.055
0.29 0.726 239.036
0.265 0.741 254.054
0.23 0.751 257.471
0.185 0.761 253.301
0.135 0.776 270.0
-0.125 0.776 282.095
-0.195 0.761 282.529
-0.24 0.751 291.802
-0.265 0.741 293.199
-0.3 0.726 291.801
-0.325 0.716 293.199
-0.36 0.701 300.964
-0.385 0.686 299.745
-0.42 0.666 300.964
-0.445 0.651 307.875
-0.49 0.616 309.472
-0.575 0.546 330.945
-0.6 0.501 306.87
-0.62 0.486 323.13
-0.65 0.446 327.995
-0.675 0.406 330.255
-0.695 0.371 333.435
-0.705 0.351 338.199
-0.715 0.326 338.199
-0.725 0.301 336.801
-0.74 0.266 344.055
-0.75 0.231 344.055
-0.76 0.196 345.964
-0.775 0.136 354.56
-0.785 0.031 0.0
-0.785 -0.039 5.194
-0.775 -0.149 15.255
-0.76 -0.204 15.945
-0.75 -0.239 14.036
-0.74 -0.279 36.87
-0.725 -0.299 15.945
-0.715 -0.334 38.66
-0.695 -0.359 23.199
-0.68 -0.394 30.964
-0.665 -0.419 21.801
-0.655 -0.444 36.87
-0.64 -0.464 53.13
-0.62 -0.479 26.565
-0.61 -0.499 40.601
-0.58 -0.534 50.194
-0.55 -0.559 47.121
-0.48 -0.624 55.008
-0.43 -0.659 54.462
-0.395 -0.684 66.038
-0.35 -0.704 59.036
-0.325 -0.719 78.69
-0.3 -0.724 66.801
-0.265 -0.739 59.036
-0.24 -0.754 83.66
-0.195 -0.759 71.565
-0.15 -0.774 83.29
-0.065 -0.784 45.0
-0.059 -0.79 45.0
Layer: 115
34.539
51
0.472 -0.259 32.276
0.436 -0.316 39.699
0.392 -0.369 46.809
0.343 -0.415 53.471
0.289 -0.455 61.928
0.229 -0.487 68.356
0.166 -0.512 75.343
0.101 -0.529 83.191
0.034 -0.537 90.000
-0.034 -0.537 96.809
-0.101 -0.529 104.657
-0.166 -0.512 111.644
-0.229 -0.487 118.072
-0.289 -0.455 126.529
-0.343 -0.415 133.191
-0.392 -0.369 140.301
-0.436 -0.316 147.724
-0.472 -0.259 154.573
-0.501 -0.198 162.646
-0.521 -0.134 169.019
-0.534 -0.067 176.583
-0.538 0.000 183.417
-0.534 0.067 190.981
-0.521 0.134 197.354
-0.501 0.198 205.427
-0.472 0.259 212.276
-0.436 0.316 219.699
-0.392 0.369 226.809
-0.343 0.415 233.471
-0.289 0.455 241.928
-0.229 0.487 248.356
-0.166 0.512 255.343
-0.101 0.529 263.191
-0.034 0.537 270.000
0.034 0.537 276.809
0.101 0.529 284.657
0.166 0.512 291.644
0.229 0.487 298.072
0.289 0.455 306.529
0.343 0.415 313.191
0.392 0.369 320.301
0.436 0.316 327.724
0.472 0.259 334.573
0.501 0.198 342.646
0.521 0.134 349.019
0.534 0.067 356.583
0.538 0.000 363.417
0.534 -0.067 370.981
0.521 -0.134 377.354
0.501 -0.198 385.427
0.472 -0.259 385.427
Layer: 116
34.539
51
0.432 -0.237 204.905
0.458 -0.181 197.850
0.477 -0.122 191.310
0.489 -0.062 182.770
0.492 0.000 177.230
0.489 0.062 168.690
0.477 0.122 162.150
0.458 0.181 155.095
0.432 0.237 146.821
0.398 0.289 140.906
0.359 0.337 133.025
0.314 0.379 126.501
0.264 0.416 119.055
0.210 0.446 110.772
0.152 0.468 104.931
0.092 0.484 97.472
0.031 0.492 90.000
-0.031 0.492 82.528
-0.092 0.484 75.069
-0.152 0.468 69.228
-0.210 0.446 60.945
-0.264 0.416 53.499
-0.314 0.379 46.975
-0.359 0.337 39.094
-0.398 0.289 33.179
-0.432 0.237 24.905
-0.458 0.181 17.850
-0.477 0.122 11.310
-0.489 0.062 2.770
-0.492 0.000 -2.770
-0.489 -0.062 -11.310
-0.477 -0.122 -17.850
-0.458 -0.181 -24.905
-0.432 -0.237 -33.179
-0.398 -0.289 -39.094
-0.359 -0.337 -46.975
-0.314 -0.379 -53.499
-0.264 -0.416 -60.945
-0.210 -0.446 -69.228
-0.152 -0.468 -75.069
-0.092 -0.484 -82.528
-0.031 -0.492 -90.000
0.031 -0.492 -97.472
0.092 -0.484 -104.931
0.152 -0.468 -110.772
0.210 -0.446 -119.055
0.264 -0.416 -126.501
0.314 -0.379 -133.025
0.359 -0.337 -140.906
0.398 -0.289 -146.821
0.432 -0.237 -146.821
seperation layer:
34.539
108
-0.059 -0.79 93.013
0.055 -0.784 96.34
0.145 -0.774 104.036
0.205 -0.759 101.31
0.255 -0.749 116.565
0.275 -0.739 110.556
0.315 -0.724 126.87
0.335 -0.709 101.31
0.36 -0.704 128.66
0.385 -0.684 119.745
0.42 -0.664 111.801
0.445 -0.654 130.601
0.48 -0.624 130.101
0.575 -0.544 153.435
0.585 -0.524 138.366
0.625 -0.479 144.462
0.65 -0.444 144.462
0.675 -0.409 153.435
0.695 -0.369 165.964
0.7 -0.349 149.036
0.715 -0.324 149.036
0.73 -0.299 164.055
0.74 -0.264 158.198
0.75 -0.239 164.055
0.76 -0.204 167.905
0.775 -0.134 174.56
0.785 -0.029 180.0
0.785 0.021 184.97
0.775 0.136 194.036
0.76 0.196 195.945
0.75 0.231 192.529
0.74 0.276 210.964
0.725 0.301 201.801
0.715 0.326 210.964
0.7 0.351 206.565
0.69 0.371 201.801
0.68 0.396 210.964
0.665 0.421 213.69
0.655 0.436 219.806
0.63 0.466 210.964
0.615 0.491 217.875
0.58 0.536 230.906
0.5 0.601 216.87
0.485 0.621 236.31
0.455 0.641 231.34
0.43 0.661 240.255
0.395 0.681 248.199
0.37 0.691 243.435
0.35 0.701 239.036
0.325 0.716 254.055
0.29 0.726 239.036
0.265 0.741 254.054
0.23 0.751 257.471
0.185 0.761 253.301
0.135 0.776 270.0
-0.125 0.776 282.095
-0.195 0.761 282.529
-0.24 0.751 291.802
-0.265 0.741 293.199
-0.3 0.726 291.801
-0.325 0.716 293.199
-0.36 0.701 300.964
-0.385 0.686 299.745
-0.42 0.666 300.964
-0.445 0.651 307.875
-0.49 0.616 309.472
-0.575 0.546 330.945
-0.6 0.501 306.87
-0.62 0.486 323.13
-0.65 0.446 327.995
-0.675 0.406 330.255
-0.695 0.371 333.435
-0.705 0.351 338.199
-0.715 0.326 338.199
-0.725 0.301 336.801
-0.74 0.266 344.055
-0.75 0.231 344.055
-0.76 0.196 345.964
-0.775 0.136 354.56
-0.785 0.031 0.0
-0.785 -0.039 5.194
-0.775 -0.149 15.255
-0.76 -0.204 15.945
-0.75 -0.239 14.036
-0.74 -0.279 36.87
-0.725 -0.299 15.945
-0.715 -0.334 38.66
-0.695 -0.359 23.199
-0.68 -0.394 30.964
-0.665 -0.419 21.801
-0.655 -0.444 36.87
-0.64 -0.464 53.13
-0.62 -0.479 26.565
-0.61 -0.499 40.601
-0.58 -0.534 50.194
-0.55 -0.559 47.121
-0.48 -0.624 55.008
-0.43 -0.659 54.462
-0.395 -0.684 66.038
-0.35 -0.704 59.036
-0.325 -0.719 78.69
-0.3 -0.724 66.801
-0.265 -0.739 59.036
-0.24 -0.754 83.66
-0.195 -0.759 71.565
-0.15 -0.774 83.29
-0.065 -0.784 45.0
-0.059 -0.79 45.0
Layer: 117
35.139
51
-0.096 0.504 262.875
-0.032 0.512 270.000
0.032 0.512 277.125
0.096 0.504 284.250
0.159 0.488 291.801
0.219 0.464 298.968
0.275 0.433 306.158
0.327 0.395 313.112
0.374 0.351 320.080
0.415 0.302 327.529
0.450 0.247 335.037
0.477 0.189 341.847
0.497 0.128 349.380
0.509 0.064 356.424
0.513 0.000 363.576
0.509 -0.064 370.620
0.497 -0.128 378.153
0.477 -0.189 384.963
0.450 -0.247 392.471
0.415 -0.302 399.920
0.374 -0.351 406.888
0.327 -0.395 413.842
0.275 -0.433 421.032
0.219 -0.464 428.199
0.159 -0.488 435.750
0.096 -0.504 442.875
0.032 -0.512 450.000
-0.032 -0.512 457.125
-0.096 -0.504 464.250
-0.159 -0.488 471.801
-0.219 -0.464 478.968
-0.275 -0.433 486.158
-0.327 -0.395 493.112
-0.374 -0.351 500.080
-0.415 -0.302 507.529
-0.450 -0.247 515.037
-0.477 -0.189 521.847
-0.497 -0.128 529.380
-0.509 -0.064 536.424
-0.513 0.000 543.576
-0.509 0.064 550.620
-0.497 0.128 558.153
-0.477 0.189 564.963
-0.450 0.247 572.471
-0.415 0.302 579.920
-0.374 0.351 586.888
-0.327 0.395 593.842
-0.275 0.433 601.032
-0.219 0.464 608.199
-0.159 0.488 615.750
-0.096 0.504 615.750
Layer: 118
35.139
51
-0.087 0.455 75.005
-0.143 0.440 68.749
-0.197 0.419 61.232
-0.248 0.391 54.118
-0.295 0.357 47.070
-0.338 0.317 39.428
-0.375 0.272 32.320
-0.406 0.223 25.253
-0.431 0.170 18.122
-0.449 0.115 9.951
-0.459 0.058 3.945
-0.463 0.000 -3.945
-0.459 -0.058 -9.951
-0.449 -0.115 -18.122
-0.431 -0.170 -25.253
-0.406 -0.223 -32.320
-0.375 -0.272 -39.428
-0.338 -0.317 -47.070
-0.295 -0.357 -54.118
-0.248 -0.391 -61.232
-0.197 -0.419 -68.749
-0.143 -0.440 -75.005
-0.087 -0.455 -83.118
-0.029 -0.462 -90.000
0.029 -0.462 -96.882
0.087 -0.455 -104.995
0.143 -0.440 -111.251
0.197 -0.419 -118.768
0.248 -0.391 -125.882
0.295 -0.357 -132.930
0.338 -0.317 -140.572
0.375 -0.272 -147.680
0.406 -0.223 -154.747
0.431 -0.170 -161.878
0.449 -0.115 -170.049
0.459 -0.058 -176.055
0.463 0.000 -183.945
0.459 0.058 -189.951
0.449 0.115 -198.122
0.431 0.170 -205.253
0.406 0.223 -212.320
0.375 0.272 -219.428
0.338 0.317 -227.070
0.295 0.357 -234.118
0.248 0.391 -241.232
0.197 0.419 -248.749
0.143 0.440 -255.005
0.087 0.455 -263.118
0.029 0.462 -270.000
-0.029 0.462 -276.882
-0.087 0.455 -276.882
seperation layer:
35.139
108
-0.059 -0.79 93.013
0.055 -0.784 96.34
0.145 -0.774 104.036
0.205 -0.759 101.31
0.255 -0.749 116.565
0.275 -0.739 110.556
0.315 -0.724 126.87
0.335 -0.709 101.31
0.36 -0.704 128.66
0.385 -0.684 119.745
0.42 -0.664 111.801
0.445 -0.654 130.601
0.48 -0.624 130.101
0.575 -0.544 153.435
0.585 -0.524 138.366
0.625 -0.479 144.462
0.65 -0.444 144.462
0.675 -0.409 153.435
0.695 -0.369 165.964
0.7 -0.349 149.036
0.715 -0.324 149.036
0.73 -0.299 164.055
0.74 -0.264 158.198
0.75 -0.239 164.055
0.76 -0.204 167.905
0.775 -0.134 174.56
0.785 -0.029 180.0
0.785 0.021 184.97
0.775 0.136 194.036
0.76 0.196 195.945
0.75 0.231 192.529
0.74 0.276 210.964
0.725 0.301 201.801
0.715 0.326 210.964
0.7 0.351 206.565
0.69 0.371 201.801
0.68 0.396 210.964
0.665 0.421 213.69
0.655 0.436 219.806
0.63 0.466 210.964
0.615 0.491 217.875
0.58 0.536 230.906
0.5 0.601 216.87
0.485 0.621 236.31
0.455 0.641 231.34
0.43 0.661 240.255
0.395 0.681 248.199
0.37 0.691 243.435
0.35 0.701 239.036
0.325 0.716 254.055
0.29 0.726 239.036
0.265 0.741 254.054
0.23 0.751 257.471
0.185 0.761 253.301
0.135 0.776 270.0
-0.125 0.776 282.095
-0.195 0.761 282.529
-0.24 0.751 291.802
-0.265 0.741 293.199
-0.3 0.726 291.801
-0.325 0.716 293.199
-0.36 0.701 300.964
-0.385 0.686 299.745
-0.42 0.666 300.964
-0.445 0.651 307.875
-0.49 0.616 309.472
-0.575 0.546 330.945
-0.6 0.501 306.87
-0.62 0.486 323.13
-0.65 0.446 327.995
-0.675 0.406 330.255
-0.695 0.371 333.435
-0.705 0.351 338.199
-0.715 0.326 338.199
-0.725 0.301 336.801
-0.74 0.266 344.055
-0.75 0.231 344.055
-0.76 0.196 345.964
-0.775 0.136 354.56
-0.785 0.031 0.0
-0.785 -0.039 5.194
-0.775 -0.149 15.255
-0.76 -0.204 15.945
-0.75 -0.239 14.036
-0.74 -0.279 36.87
-0.725 -0.299 15.945
-0.715 -0.334 38.66
-0.695 -0.359 23.199
-0.68 -0.394 30.964
-0.665 -0.419 21.801
-0.655 -0.444 36.87
-0.64 -0.464 53.13
-0.62 -0.479 26.565
-0.61 -0.499 40.601
-0.58 -0.534 50.194
-0.55 -0.559 47.121
-0.48 -0.624 55.008
-0.43 -0.659 54.462
-0.395 -0.684 66.038
-0.35 -0.704 59.036
-0.325 -0.719 78.69
-0.3 -0.724 66.801
-0.265 -0.739 59.036
-0.24 -0.754 83.66
-0.195 -0.759 71.565
-0.15 -0.774 83.29
-0.065 -0.784 45.0
-0.059 -0.79 45.0
Layer: 119
35.739
51
-0.392 -0.285 148.392
-0.424 -0.233 154.699
-0.450 -0.178 161.862
-0.469 -0.120 169.439
-0.480 -0.061 176.248
-0.484 0.000 183.752
-0.480 0.061 190.561
-0.469 0.120 198.138
-0.450 0.178 205.301
-0.424 0.233 211.608
-0.392 0.285 220.292
-0.353 0.331 226.332
-0.309 0.373 234.246
-0.259 0.409 241.314
-0.206 0.438 248.552
-0.150 0.460 254.827
-0.091 0.476 263.454
-0.030 0.483 270.000
0.030 0.483 276.546
0.091 0.476 285.173
0.150 0.460 291.448
0.206 0.438 298.686
0.259 0.409 305.754
0.309 0.373 313.668
0.353 0.331 319.708
0.392 0.285 328.392
0.424 0.233 334.699
0.450 0.178 341.862
0.469 0.120 349.439
0.480 0.061 356.248
0.484 0.000 363.752
0.480 -0.061 370.561
0.469 -0.120 378.138
0.450 -0.178 385.301
0.424 -0.233 391.608
0.392 -0.285 400.292
0.353 -0.331 406.332
0.309 -0.373 414.246
0.259 -0.409 421.314
0.206 -0.438 428.552
0.150 -0.460 434.827
0.091 -0.476 443.454
0.030 -0.483 450.000
-0.030 -0.483 456.546
-0.091 -0.476 465.173
-0.150 -0.460 471.448
-0.206 -0.438 478.686
-0.259 -0.409 485.754
-0.309 -0.373 493.668
-0.353 -0.331 499.708
-0.392 -0.285 499.708
Layer: 120
35.739
51
-0.348 -0.253 321.009
-0.314 -0.295 312.769
-0.274 -0.332 306.656
-0.231 -0.364 298.443
-0.183 -0.390 291.801
-0.133 -0.410 284.036
-0.081 -0.423 277.386
-0.027 -0.430 270.000
0.027 -0.430 262.614
0.081 -0.423 255.964
0.133 -0.410 248.199
0.183 -0.390 241.557
0.231 -0.364 233.344
0.274 -0.332 227.231
0.314 -0.295 218.991
0.348 -0.253 212.229
0.377 -0.207 205.602
0.400 -0.159 198.104
0.417 -0.107 190.685
0.427 -0.054 184.236
0.431 0.000 175.764
0.427 0.054 169.315
0.417 0.107 161.896
0.400 0.159 154.398
0.377 0.207 147.771
0.348 0.253 141.009
0.314 0.295 132.769
0.274 0.332 126.656
0.231 0.364 118.443
0.183 0.390 111.801
0.133 0.410 104.036
0.081 0.423 97.386
0.027 0.430 90.000
-0.027 0.430 82.614
-0.081 0.423 75.964
-0.133 0.410 68.199
-0.183 0.390 61.557
-0.231 0.364 53.344
-0.274 0.332 47.231
-0.314 0.295 38.991
-0.348 0.253 32.229
-0.377 0.207 25.602
-0.400 0.159 18.104
-0.417 0.107 10.685
-0.427 0.054 4.236
-0.431 0.000 -4.236
-0.427 -0.054 -10.685
-0.417 -0.107 -18.104
-0.400 -0.159 -25.602
-0.377 -0.207 -32.229
-0.348 -0.253 -32.229
seperation layer:
35.739
108
-0.059 -0.79 93.013
0.055 -0.784 96.34
0.145 -0.774 104.036
0.205 -0.759 101.31
0.255 -0.749 116.565
0.275 -0.739 110.556
0.315 -0.724 126.87
0.335 -0.709 101.31
0.36 -0.704 128.66
0.385 -0.684 119.745
0.42 -0.664 111.801
0.445 -0.654 130.601
0.48 -0.624 130.101
0.575 -0.544 153.435
0.585 -0.524 138.366
0.625 -0.479 144.462
0.65 -0.444 144.462
0.675 -0.409 153.435
0.695 -0.369 165.964
0.7 -0.349 149.036
0.715 -0.324 149.036
0.73 -0.299 164.055
0.74 -0.264 158.198
0.75 -0.239 164.055
0.76 -0.204 167.905
0.775 -0.134 174.56
0.785 -0.029 180.0
0.785 0.021 184.97
0.775 0.136 194.036
0.76 0.196 195.945
0.75 0.231 192.529
0.74 0.276 210.964
0.725 0.301 201.801
0.715 0.326 210.964
0.7 0.351 206.565
0.69 0.371 201.801
0.68 0.396 210.964
0.665 0.421 213.69
0.655 0.436 219.806
0.63 0.466 210.964
0.615 0.491 217.875
0.58 0.536 230.906
0.5 0.601 216.87
0.485 0.621 236.31
0.455 0.641 231.34
0.43 0.661 240.255
0.395 0.681 248.199
0.37 0.691 243.435
0.35 0.701 239.036
0.325 0.716 254.055
0.29 0.726 239.036
0.265 0.741 254.054
0.23 0.751 257.471
0.185 0.761 253.301
0.135 0.776 270.0
-0.125 0.776 282.095
-0.195 0.761 282.529
-0.24 0.751 291.802
-0.265 0.741 293.199
-0.3 0.726 291.801
-0.325 0.716 293.199
-0.36 0.701 300.964
-0.385 0.686 299.745
-0.42 0.666 300.964
-0.445 0.651 307.875
-0.49 0.616 309.472
-0.575 0.546 330.945
-0.6 0.501 306.87
-0.62 0.486 323.13
-0.65 0.446 327.995
-0.675 0.406 330.255
-0.695 0.371 333.435
-0.705 0.351 338.199
-0.715 0.326 338.199
-0.725 0.301 336.801
-0.74 0.266 344.055
-0.75 0.231 344.055
-0.76 0.196 345.964
-0.775 0.136 354.56
-0.785 0.031 0.0
-0.785 -0.039 5.194
-0.775 -0.149 15.255
-0.76 -0.204 15.945
-0.75 -0.239 14.036
-0.74 -0.279 36.87
-0.725 -0.299 15.945
-0.715 -0.334 38.66
-0.695 -0.359 23.199
-0.68 -0.394 30.964
-0.665 -0.419 21.801
-0.655 -0.444 36.87
-0.64 -0.464 53.13
-0.62 -0.479 26.565
-0.61 -0.499 40.601
-0.58 -0.534 50.194
-0.55 -0.559 47.121
-0.48 -0.624 55.008
-0.43 -0.659 54.462
-0.395 -0.684 66.038
-0.35 -0.704 59.036
-0.325 -0.719 78.69
-0.3 -0.724 66.801
-0.265 -0.739 59.036
-0.24 -0.754 83.66
-0.195 -0.759 71.565
-0.15 -0.774 83.29
-0.065 -0.784 45.0
-0.059 -0.79 45.0
Layer: 121
36.339
51
0.396 -0.218 33.408
0.365 -0.265 39.289
0.329 -0.309 46.432
0.288 -0.348 54.345
0.242 -0.381 60.751
0.192 -0.409 68.962
0.140 -0.429 74.745
0.085 -0.444 82.999
0.028 -0.451 90.000
-0.028 -0.451 97.001
-0.085 -0.444 105.255
-0.140 -0.429 111.038
-0.192 -0.409 119.249
-0.242 -0.381 125.655
-0.288 -0.348 133.568
-0.329 -0.309 140.711
-0.365 -0.265 146.592
-0.396 -0.218 155.225
-0.420 -0.166 162.525
-0.437 -0.112 168.690
-0.448 -0.057 175.986
-0.452 0.000 184.014
-0.448 0.057 191.310
-0.437 0.112 197.475
-0.420 0.166 204.775
-0.396 0.218 213.408
-0.365 0.265 219.289
-0.329 0.309 226.432
-0.288 0.348 234.345
-0.242 0.381 240.751
-0.192 0.409 248.962
-0.140 0.429 254.745
-0.085 0.444 262.999
-0.028 0.451 270.000
0.028 0.451 277.001
0.085 0.444 285.255
0.140 0.429 291.038
0.192 0.409 299.249
0.242 0.381 305.655
0.288 0.348 313.568
0.329 0.309 320.711
0.365 0.265 326.592
0.396 0.218 335.225
0.420 0.166 342.525
0.437 0.112 348.690
0.448 0.057 355.986
0.452 0.000 364.014
0.448 -0.057 371.310
0.437 -0.112 377.475
0.420 -0.166 384.775
0.396 -0.218 384.775
Layer: 122
36.339
51
0.347 -0.191 205.017
0.368 -0.146 197.354
0.383 -0.098 191.768
0.393 -0.050 183.434
0.396 0.000 176.566
0.393 0.050 168.232
0.383 0.098 162.646
0.368 0.146 154.983
0.347 0.191 147.265
0.320 0.233 140.793
0.289 0.271 132.580
0.252 0.305 125.942
0.212 0.334 119.168
0.169 0.358 110.956
0.122 0.376 105.154
0.074 0.389 96.981
0.025 0.395 90.000
-0.025 0.395 83.019
-0.074 0.389 74.846
-0.122 0.376 69.044
-0.169 0.358 60.832
-0.212 0.334 54.058
-0.252 0.305 47.420
-0.289 0.271 39.207
-0.320 0.233 32.735
-0.347 0.191 25.017
-0.368 0.146 17.354
