The converted file is generated at:
2017-05-23 04:28:08
XMax XMin YMax YMin
0.787 -0.787 0.786 -0.786
Number of Layers:
132
-0.185 0.393 608.587
-0.134 0.413 616.218
-0.081 0.426 622.614
-0.027 0.433 630.000
0.027 0.433 630.000
Layer: 12
3.339
51
0.023 0.372 90.000
-0.023 0.372 82.725
-0.070 0.366 76.264
-0.115 0.355 67.751
-0.159 0.337 61.783
-0.200 0.315 53.616
-0.238 0.287 46.736
-0.272 0.255 39.806
-0.302 0.219 32.661
-0.327 0.180 24.944
-0.347 0.137 17.650
-0.361 0.093 11.070
-0.370 0.047 3.652
-0.373 0.000 -3.652
-0.370 -0.047 -11.070
-0.361 -0.093 -17.650
-0.347 -0.137 -24.944
-0.327 -0.180 -32.661
-0.302 -0.219 -39.806
-0.272 -0.255 -46.736
-0.238 -0.287 -53.616
-0.200 -0.315 -61.783
-0.159 -0.337 -67.751
-0.115 -0.355 -76.264
-0.070 -0.366 -82.725
-0.023 -0.372 -90.000
0.023 -0.372 -97.275
0.070 -0.366 -103.736
0.115 -0.355 -112.249
0.159 -0.337 -118.217
0.200 -0.315 -126.384
0.238 -0.287 -133.264
0.272 -0.255 -140.194
0.302 -0.219 -147.339
0.327 -0.180 -155.056
0.347 -0.137 -162.350
0.361 -0.093 -168.930
0.370 -0.047 -176.348
0.373 0.000 -183.652
0.370 0.047 -191.070
0.361 0.093 -197.650
0.347 0.137 -204.944
0.327 0.180 -212.661
0.302 0.219 -219.806
0.272 0.255 -226.736
0.238 0.287 -233.616
0.200 0.315 -241.783
0.159 0.337 -247.751
0.115 0.355 -256.264
0.070 0.366 -262.725
0.023 0.372 -262.725
Layer: 13
3.939
51
-0.434 -0.172 162.181
-0.452 -0.116 169.077
-0.463 -0.059 176.121
-0.467 0.000 183.879
-0.463 0.059 190.923
-0.452 0.116 197.819
-0.434 0.172 205.253
-0.409 0.225 212.320
-0.378 0.274 220.179
-0.340 0.319 226.364
-0.297 0.360 234.118
-0.250 0.394 241.232
-0.199 0.422 248.199
-0.144 0.444 256.201
-0.087 0.458 262.147
-0.029 0.466 270.000
0.029 0.466 277.853
0.087 0.458 283.799
0.144 0.444 291.801
0.199 0.422 298.768
0.250 0.394 305.882
0.297 0.360 313.636
0.340 0.319 319.821
0.378 0.274 327.680
0.409 0.225 334.747
0.434 0.172 342.181
0.452 0.116 349.077
0.463 0.059 356.121
0.467 0.000 363.879
0.463 -0.059 370.923
0.452 -0.116 377.819
0.434 -0.172 385.253
0.409 -0.225 392.320
0.378 -0.274 400.179
0.340 -0.319 406.364
0.297 -0.360 414.118
0.250 -0.394 421.232
0.199 -0.422 428.199
0.144 -0.444 436.201
0.087 -0.458 442.147
0.029 -0.466 450.000
-0.029 -0.466 457.853
-0.087 -0.458 463.799
-0.144 -0.444 471.801
-0.199 -0.422 478.768
-0.250 -0.394 485.882
-0.297 -0.360 493.636
-0.340 -0.319 499.821
-0.378 -0.274 507.680
-0.409 -0.225 514.747
-0.434 -0.172 514.747
Layer: 14
3.939
51
-0.384 -0.152 334.916
-0.362 -0.199 327.529
-0.334 -0.243 320.477
-0.301 -0.283 312.647
-0.263 -0.318 306.431
-0.221 -0.349 299.055
-0.176 -0.374 291.595
-0.128 -0.393 284.300
-0.077 -0.406 276.710
-0.026 -0.412 270.000
0.026 -0.412 263.290
0.077 -0.406 255.700
0.128 -0.393 248.405
0.176 -0.374 240.945
0.221 -0.349 233.569
0.263 -0.318 227.353
0.301 -0.283 219.523
0.334 -0.243 212.471
0.362 -0.199 205.084
0.384 -0.152 198.083
0.400 -0.103 191.094
0.410 -0.052 183.302
0.413 0.000 176.698
0.410 0.052 168.906
0.400 0.103 161.917
0.384 0.152 154.916
0.362 0.199 147.529
0.334 0.243 140.477
0.301 0.283 132.647
0.263 0.318 126.431
0.221 0.349 119.055
0.176 0.374 111.595
0.128 0.393 104.300
0.077 0.406 96.710
0.026 0.412 90.000
-0.026 0.412 83.290
-0.077 0.406 75.700
-0.128 0.393 68.405
-0.176 0.374 60.945
-0.221 0.349 53.569
-0.263 0.318 47.353
-0.301 0.283 39.523
-0.334 0.243 32.471
-0.362 0.199 25.084
-0.384 0.152 18.083
-0.400 0.103 11.094
-0.410 0.052 3.302
-0.413 0.000 -3.302
-0.410 -0.052 -11.094
-0.400 -0.103 -18.083
-0.384 -0.152 -18.083
Layer: 15
4.539
51
0.437 -0.240 31.908
0.404 -0.293 39.226
0.364 -0.342 46.931
0.318 -0.385 54.782
0.267 -0.421 60.141
0.213 -0.452 68.703
0.154 -0.475 75.964
0.094 -0.490 82.763
0.031 -0.498 90.000
-0.031 -0.498 97.237
-0.094 -0.490 104.036
-0.154 -0.475 111.297
-0.213 -0.452 119.859
-0.267 -0.421 125.218
-0.318 -0.385 133.069
-0.364 -0.342 140.774
-0.404 -0.293 148.092
-0.437 -0.240 154.259
-0.464 -0.184 161.565
-0.484 -0.124 169.778
-0.495 -0.063 176.367
-0.499 0.000 183.633
-0.495 0.063 190.222
-0.484 0.124 198.435
-0.464 0.184 205.741
-0.437 0.240 211.908
-0.404 0.293 219.226
-0.364 0.342 226.931
-0.318 0.385 234.782
-0.267 0.421 240.141
-0.213 0.452 248.703
-0.154 0.475 255.964
-0.094 0.490 262.763
-0.031 0.498 270.000
0.031 0.498 277.237
0.094 0.490 284.036
0.154 0.475 291.297
0.213 0.452 299.859
0.267 0.421 305.218
0.318 0.385 313.069
0.364 0.342 320.774
0.404 0.293 328.092
0.437 0.240 334.259
0.464 0.184 341.565
0.484 0.124 349.778
0.495 0.063 356.367
0.499 0.000 363.633
0.495 -0.063 370.222
0.484 -0.124 378.435
0.464 -0.184 385.741
0.437 -0.240 385.741
Layer: 16
4.539
51
0.391 -0.215 204.274
0.414 -0.164 198.759
0.432 -0.111 190.305
0.442 -0.056 184.086
0.446 0.000 175.914
0.442 0.056 169.695
0.432 0.111 161.241
0.414 0.164 155.726
0.391 0.215 147.450
0.361 0.262 140.064
0.325 0.305 132.825
0.284 0.343 126.254
0.239 0.376 118.856
0.190 0.403 111.991
0.138 0.424 104.534
0.084 0.438 97.125
0.028 0.445 90.000
-0.028 0.445 82.875
-0.084 0.438 75.466
-0.138 0.424 68.009
-0.190 0.403 61.144
-0.239 0.376 53.746
-0.284 0.343 47.175
-0.325 0.305 39.936
-0.361 0.262 32.550
-0.391 0.215 24.274
-0.414 0.164 18.759
-0.432 0.111 10.305
-0.442 0.056 4.086
-0.446 0.000 -4.086
-0.442 -0.056 -10.305
-0.432 -0.111 -18.759
-0.414 -0.164 -24.274
-0.391 -0.215 -32.550
-0.361 -0.262 -39.936
-0.325 -0.305 -47.175
-0.284 -0.343 -53.746
-0.239 -0.376 -61.144
-0.190 -0.403 -68.009
-0.138 -0.424 -75.466
-0.084 -0.438 -82.875
-0.028 -0.445 -90.000
0.028 -0.445 -97.125
0.084 -0.438 -104.534
0.138 -0.424 -111.991
0.190 -0.403 -118.856
0.239 -0.376 -126.254
0.284 -0.343 -132.825
0.325 -0.305 -140.064
0.361 -0.262 -147.450
0.391 -0.215 -147.450
Layer: 17
5.139
51
-0.488 0.193 205.017
-0.460 0.253 212.005
-0.425 0.309 220.030
-0.383 0.359 226.848
-0.335 0.404 234.162
-0.281 0.443 240.690
-0.224 0.475 248.839
-0.162 0.499 255.124
-0.098 0.516 262.983
-0.033 0.524 270.000
0.033 0.524 277.017
0.098 0.516 284.876
0.162 0.499 291.161
0.224 0.475 299.310
0.281 0.443 305.838
0.335 0.404 313.152
0.383 0.359 319.970
0.425 0.309 327.995
0.460 0.253 334.983
0.488 0.193 342.121
0.508 0.131 348.690
0.521 0.066 356.532
0.525 0.000 363.468
0.521 -0.066 371.310
0.508 -0.131 377.879
0.488 -0.193 385.017
0.460 -0.253 392.005
0.425 -0.309 400.030
0.383 -0.359 406.848
0.335 -0.404 414.162
0.281 -0.443 420.690
0.224 -0.475 428.839
0.162 -0.499 435.124
0.098 -0.516 442.983
0.033 -0.524 450.000
-0.033 -0.524 457.017
-0.098 -0.516 464.876
-0.162 -0.499 471.161
-0.224 -0.475 479.310
-0.281 -0.443 485.838
-0.335 -0.404 493.152
-0.383 -0.359 499.970
-0.425 -0.309 507.995
-0.460 -0.253 514.983
-0.488 -0.193 522.121
-0.508 -0.131 528.690
-0.521 -0.066 536.532
-0.525 0.000 543.468
-0.521 0.066 551.310
-0.508 0.131 557.879
-0.488 0.193 557.879
Layer: 18
5.139
51
-0.445 0.176 17.526
-0.463 0.119 10.561
-0.474 0.060 3.814
-0.478 0.000 -3.814
-0.474 -0.060 -10.561
-0.463 -0.119 -17.526
-0.445 -0.176 -25.710
-0.419 -0.230 -32.106
-0.387 -0.281 -39.560
-0.349 -0.327 -47.021
-0.305 -0.368 -53.696
-0.256 -0.404 -60.852
-0.204 -0.433 -68.552
-0.148 -0.455 -75.500
-0.090 -0.470 -83.346
-0.030 -0.477 -90.000
0.030 -0.477 -96.654
0.090 -0.470 -104.500
0.148 -0.455 -111.448
0.204 -0.433 -119.148
0.256 -0.404 -126.304
0.305 -0.368 -132.979
0.349 -0.327 -140.440
0.387 -0.281 -147.894
0.419 -0.230 -154.290
0.445 -0.176 -162.474
0.463 -0.119 -169.439
0.474 -0.060 -176.186
0.478 0.000 -183.814
0.474 0.060 -190.561
0.463 0.119 -197.526
0.445 0.176 -205.710
0.419 0.230 -212.106
0.387 0.281 -219.560
0.349 0.327 -227.021
0.305 0.368 -233.696
0.256 0.404 -240.852
0.204 0.433 -248.552
0.148 0.455 -255.500
0.090 0.470 -263.346
0.030 0.477 -270.000
-0.030 0.477 -276.654
-0.090 0.470 -284.500
-0.148 0.455 -291.448
-0.204 0.433 -299.148
-0.256 0.404 -306.304
-0.305 0.368 -312.979
-0.349 0.327 -320.440
-0.387 0.281 -327.894
-0.419 0.230 -334.290
-0.445 0.176 -334.290
Layer: 19
5.739
51
0.035 -0.549 90.000
-0.035 -0.549 97.539
-0.103 -0.540 104.237
-0.170 -0.523 111.337
-0.234 -0.498 119.134
-0.295 -0.464 125.538
-0.351 -0.424 133.229
-0.401 -0.377 140.826
-0.445 -0.323 147.465
-0.482 -0.265 154.933
-0.511 -0.203 161.565
-0.533 -0.137 169.177
